#ID	Name
G1	yneL
G1784	ybeB
G1785	emtA
G1786	ykgJ
G1787	adhP
G1788	decoy156
G1789	ybiC
G1790	thrC
G1791	mobA
G1792	gatC
G1793	yqjG
G1794	hisM
G1795	xylG
G1796	wzyE
G1797	ybfP
G1798	ygiZ
G1799	pflD
G1800	macA
G1801	yjjG
G1802	murQ
G1803	dnaQ
G1804	decoy213
G1805	ycfH
G1806	rplV
G1807	ybjI
G1808	tmk
G1809	yggU
G1810	ycjD
G1811	yaiX
G1812	yeaX
G1813	phnJ
G1814	mntH
G1815	cheB
G1816	frr
G1817	bglB
G1818	decoy90
G1819	yagM
G1820	yihF
G1821	yijF
G1822	thrT
G1823	yfjR
G1824	ygcQ
G1825	gfcC
G1826	yfcL
G1827	ugpC
G1828	ycaD
G1829	arnT
G1830	hycB
G1831	ydiE
G1832	yciQ
G1833	ompN
G1834	rpsG
G1835	srlD
G1836	decoy56
G1837	pgi
G1838	atoA
G1839	gspO
G1840	yibK
G1841	ybbN
G1842	gdhA
G1843	decoy203
G1844	aspA
G1845	yehI
G1846	hycD
G1847	flgI
G1848	bioF
G1849	nlpC
G1850	ydbA
G1851	ybhB
G1852	btuD
G1853	gspL
G1854	kefA
G1855	ydaU
G1856	yncJ
G1857	ubiH
G1858	sfmC
G1859	ycgX
G1860	yecA
G1861	yieG
G1862	ydeJ
G1863	ycgV
G1864	hcaF
G1865	fryC
G1866	dinD
G1867	eutP
G1868	rhaT
G1869	yfcQ
G1870	ybjX
G1871	mhpE
G1872	ydgK
G1873	agaW
G1874	hyaA
G1875	ymgJ
G1876	yncH
G1877	citF
G1878	yjjQ
G1879	ubiD
G1880	gpt
G1881	menC
G1882	yjfF
G1883	pepB
G1884	qor
G1885	decoy114
G1886	fecB
G1887	ybaP
G1888	ascF
G1889	rsmD
G1890	ileY
G1891	tnaA
G1892	ydbC
G1893	oppF
G1894	yaiY
G1895	ycfS
G1896	decoy150
G1897	argI
G1898	ybbY
G1899	yeeP
G1900	yncG
G1901	ygfJ
G1902	eutJ
G1903	flhE
G1904	dnaG
G1905	phoR
G1906	metA
G1907	rygC
G1908	mpaA
G1909	yfdO
G1910	hscB
G1911	dsbB
G1912	essD
G1913	smpA
G1914	argS
G1915	yfiQ
G1916	decoy39
G1917	argF
G1918	eaeH
G1919	yffR
G1920	hyfD
G1921	kefG
G1922	yceH
G1923	ybaL
G1924	tas
G1925	mnmG
G1926	yaaA
G1927	dps
G1928	asr
G1929	ybbB
G1930	yggR
G1931	tus
G1932	dinF
G1933	yihN
G1934	glpG
G1935	yeaV
G1936	pagP
G1937	srlE
G1938	ylbF
G1939	aaeB
G1940	csgF
G1941	mazG
G1942	minC
G1943	wcaJ
G1944	hyfA
G1945	yfaH
G1946	apbE
G1947	fsaA
G1948	ybgK
G1949	emrY
G1950	nuoK
G1951	yeaQ
G1952	osmC
G1953	thiC
G1954	cusA
G1955	yjiK
G1956	yihV
G1957	frwD
G1958	yccT
G1959	leuL
G1960	ynbB
G1961	maeB
G1962	mhpF
G1963	aroM
G1964	yfjO
G1965	queA
G1966	yahK
G1967	yieL
G1968	maeA
G1969	ilvH
G1970	pepT
G1971	yoaC
G1972	selB
G1973	paaI
G1974	mhpB
G1975	menA
G1976	rffG
G1977	mdoB
G1978	yihD
G1979	pppA
G1980	ubiA
G1981	fdhD
G1982	yneN
G1983	ycgB
G1984	sgcX
G1985	tauA
G1986	yraP
G1987	agaS
G1988	yahI
G1989	iadA
G1990	livH
G1991	ydjO
G1992	decoy169
G1993	astB
G1994	yecD
G1995	ymfI
G1996	sgbU
G1997	rnpB
G1998	yibT
G1999	ycfP
G2000	yhcH
G2001	arrQ
G2002	fdoH
G2003	phnE
G2004	yiaD
G2005	hofP
G2006	decoy212
G2007	pepE
G2008	cusS
G2009	wcaK
G2010	ymbA
G2011	yjjY
G2012	yjeT
G2013	yaeQ
G2014	slyB
G2015	rlpB
G2016	ybdD
G2017	yliI
G2018	yfiH
G2019	yraI
G2020	ydhJ
G2021	cynX
G2022	yidA
G2023	fixB
G2024	cyoB
G2025	araA
G2026	ycjU
G2027	uxaB
G2028	proK
G2029	aslA
G2030	garL
G2031	malF
G2032	yeaE
G2033	ybbW
G2034	mtfA
G2035	yphB
G2036	sfsA
G2037	yagH
G2038	gmd
G2039	yhcA
G2040	yhdY
G2041	dmsA
G2042	yicL
G2043	napD
G2044	cspI
G2045	yhiL
G2046	decoy175
G2047	yqeB
G2048	ydcM
G2049	hyfH
G2050	sspB
G2051	dos
G2052	yjjW
G2053	yegP
G2054	purE
G2055	cysT
G2056	vsr
G2057	rplJ
G2058	nrdE
G2059	yjaB
G2060	ybdG
G2061	yneK
G2062	rygD
G2063	rpsP
G2064	rihB
G2065	ygcN
G2066	ghrB
G2067	frsA
G2068	tpx
G2069	gltS
G2070	decoy102
G2071	lplT
G2072	fadA
G2073	ccmF
G2074	fliQ
G2075	corA
G2076	rpsL
G2077	yjaG
G2078	recC
G2079	yeeN
G2080	damX
G2081	decoy164
G2082	atpA
G2083	wecH
G2084	yeeL
G2085	rpmB
G2086	rfbA
G2087	ydaC
G2088	menE
G2089	selD
G2090	ytfP
G2091	thiE
G2092	ydjZ
G2093	hdhA
G2094	yhiJ
G2095	ygbA
G2096	yqcE
G2097	yfiD
G2098	pssA
G2099	yniD
G2100	yfbK
G2101	decoy173
G2102	eutE
G2103	mcrA
G2104	yggW
G2105	fepC
G2106	decoy188
G2107	decoy135
G2108	rffA
G2109	yjfN
G2110	rdgC
G2111	ampE
G2112	yhjR
G2113	yhfY
G2114	ynjC
G2115	yifN
G2116	yigZ
G2117	bglF
G2118	yidR
G2119	can
G2120	pspG
G2121	manY
G2122	fucA
G2123	rstB
G2124	rtcB
G2125	fecD
G2126	yceN
G2127	ybgE
G2128	mdtA
G2129	ariR
G2130	moaD
G2131	yafW
G2132	hofN
G2133	wza
G2134	pntA
G2135	dcuA
G2136	isrC
G2137	ydeP
G2138	yfjF
G2139	avtA
G2140	citT
G2141	ulaE
G2142	yhaI
G2143	yejL
G2144	ysaB
G2145	phnD
G2146	diaA
G2147	htrG
G2148	clpB
G2149	ydfI
G2150	cheZ
G2151	ygjQ
G2152	ybhG
G2153	yjgI
G2154	caiT
G2155	frmA
G2156	gsk
G2157	chbA
G2158	yhdW
G2159	tolR
G2160	btuB
G2161	rplQ
G2162	ppdB
G2163	hsdM
G2164	ytfM
G2165	glmM
G2166	rsxD
G2167	yfdY
G2168	yebV
G2169	nhaA
G2170	yfdL
G2171	ddpD
G2172	yjiJ
G2173	rdlD
G2174	yjdA
G2175	yjiV
G2176	yfeS
G2177	mreB
G2178	yhfG
G2179	yhfZ
G2180	ung
G2181	ygjV
G2182	ydjH
G2183	ygcI
G2184	mepA
G2185	ycdU
G2186	yrhC
G2187	moeA
G2188	yeaY
G2189	serV
G2190	secM
G2191	metB
G2192	gcl
G2193	yhjX
G2194	arnD
G2195	yncK
G2196	metK
G2197	wcaE
G2198	ttdB
G2199	nadA
G2200	yfbU
G2201	dsrB
G2202	yfbP
G2203	lysA
G2204	rdoA
G2205	hisB
G2206	insG
G2207	yafY
G2208	surE
G2209	yedK
G2210	rhlB
G2211	ygfT
G2212	decoy77
G2213	rfe
G2214	ygjD
G2215	ybjL
G2216	yabI
G2217	fimG
G2218	ebgC
G2219	yncB
G2220	ylbI
G2221	yihM
G2222	ccmH
G2223	cmtB
G2224	sbp
G2225	serC
G2226	ubiE
G2227	ycbJ
G2228	fes
G2229	narY
G2230	yfjZ
G2231	sstT
G2232	zitB
G2233	yghZ
G2234	ftsQ
G2235	yehL
G2236	yagS
G2237	adiC
G2238	sucB
G2239	ycgM
G2240	alsC
G2241	rpsA
G2242	paaC
G2243	ybdJ
G2244	csgG
G2245	ryjB
G2246	hyfC
G2247	bamC
G2248	mrp
G2249	ccmD
G2250	decoy68
G2251	scpA
G2252	glgC
G2253	ptsN
G2254	yejH
G2255	xdhA
G2256	aroK
G2257	yahG
G2258	tsx
G2259	rfbB
G2260	yhhT
G2261	crcB
G2262	pphA
G2263	yebO
G2264	paaJ
G2265	sufB
G2266	decoy50
G2267	decoy151
G2268	yjiM
G2269	dppF
G2270	yciK
G2271	ybcY
G2272	cmr
G2273	clcB
G2274	yfeK
G2275	ynfN
G2276	metI
G2277	decoy200
G2278	ygiB
G2279	decoy159
G2280	fmt
G2281	smf
G2282	citC
G2283	yddG
G2284	yfcA
G2285	nudB
G2286	yedY
G2287	ynfH
G2288	ybgD
G2289	otsA
G2290	ydcA
G2291	bssS
G2292	gltJ
G2293	gltI
G2294	cpsG
G2295	yjeJ
G2296	ybeT
G2297	hscA
G2298	ygbN
G2299	coaE
G2300	hflK
G2301	ygaP
G2302	dctA
G2303	hycE
G2304	rnr
G2305	ybiJ
G2306	alsB
G2307	rdgB
G2308	yijD
G2309	rnk
G2310	yjhE
G2311	npr
G2312	bacA
G2313	araJ
G2314	gadA
G2315	fbaB
G2316	pstS
G2317	glcD
G2318	trpB
G2319	rhaB
G2320	ybgO
G2321	nuoN
G2322	rpmG
G2323	sokB
G2324	glpX
G2325	umuC
G2326	xapA
G2327	fliZ
G2328	decoy93
G2329	yibN
G2330	nagA
G2331	cysP
G2332	yafP
G2333	ycjX
G2334	spy
G2335	mdoH
G2336	decoy89
G2337	alsE
G2338	yiaF
G2339	tktB
G2340	dadA
G2341	cysK
G2342	fruK
G2343	kdpD
G2344	wbbK
G2345	tfaS
G2346	thrS
G2347	ybaV
G2348	yafN
G2349	decoy99
G2350	ybbC
G2351	yrhA
G2352	yfdN
G2353	fixX
G2354	yaeP
G2355	kdgT
G2356	yfiN
G2357	rplO
G2358	ydhS
G2359	yegS
G2360	nusA
G2361	kduD
G2362	yfcJ
G2363	ycfD
G2364	lgt
G2365	bamB
G2366	ymfT
G2367	ybiV
G2368	pfkA
G2369	ybiT
G2370	sapB
G2371	yciV
G2372	ygdR
G2373	yaaW
G2374	yfjU
G2375	sucC
G2376	yjcE
G2377	ykgM
G2378	lolD
G2379	stfE
G2380	yagQ
G2381	polB
G2382	folM
G2383	hsdS
G2384	mutT
G2385	sgcE
G2386	cmoA
G2387	fepA
G2388	relA
G2389	agaI
G2390	ispF
G2391	paaY
G2392	fimC
G2393	paaA
G2394	csiD
G2395	hflB
G2396	selA
G2397	decoy142
G2398	yjiX
G2399	ynbE
G2400	yedI
G2401	usg
G2402	atpE
G2403	pheL
G2404	cydB
G2405	yehQ
G2406	murG
G2407	frwC
G2408	yjiH
G2409	grxB
G2410	yidI
G2411	yfdS
G2412	glk
G2413	ypdA
G2414	rhaM
G2415	yifB
G2416	yrbE
G2417	radA
G2418	tatA
G2419	bcsB
G2420	rppH
G2421	recD
G2422	cspG
G2423	malP
G2424	gcvP
G2425	yqgC
G2426	lolB
G2427	ycjF
G2428	yfaP
G2429	decoy171
G2430	ykfA
G2431	yfbB
G2432	yiiU
G2433	yheU
G2434	yejK
G2435	ynaJ
G2436	cydD
G2437	bcsE
G2438	nfrA
G2439	ycgG
G2440	hyaD
G2441	sdaB
G2442	cyaY
G2443	ispH
G2444	ykgE
G2445	argB
G2446	ptsH
G2447	narU
G2448	uidC
G2449	ycgN
G2450	flgJ
G2451	mdh
G2452	rfbC
G2453	glcG
G2454	yjfC
G2455	hscC
G2456	yfjW
G2457	yagE
G2458	artI
G2459	rnlA
G2460	yjjK
G2461	decoy202
G2462	yjbR
G2463	pdxJ
G2464	yrhB
G2465	yegU
G2466	ygdH
G2467	decoy158
G2468	thrA
G2469	uvrA
G2470	ilvG
G2471	yghB
G2472	spoT
G2473	yaiL
G2474	hypB
G2475	acpH
G2476	tig
G2477	ileS
G2478	yffB
G2479	glpQ
G2480	mdtM
G2481	ynbA
G2482	ybaY
G2483	ycgK
G2484	ssnA
G2485	rpsN
G2486	yfeZ
G2487	sbmC
G2488	micA
G2489	cyaA
G2490	queF
G2491	coaD
G2492	rpiB
G2493	yejO
G2494	fepD
G2495	lipB
G2496	ycjP
G2497	thiP
G2498	eutM
G2499	decoy176
G2500	ulaC
G2501	ftsP
G2502	allB
G2503	ycjV
G2504	ydiK
G2505	guaB
G2506	yecE
G2507	yncA
G2508	rimJ
G2509	udk
G2510	yejE
G2511	yecC
G2512	yejF
G2513	thiM
G2514	ybaT
G2515	malG
G2516	nuoB
G2517	yfgH
G2518	ybbJ
G2519	slyX
G2520	yohJ
G2521	lplA
G2522	argE
G2523	glnD
G2524	ygcF
G2525	flgA
G2526	pgpB
G2527	nuoE
G2528	gloA
G2529	yibI
G2530	decoy104
G2531	yjhG
G2532	emrA
G2533	asnB
G2534	yjcO
G2535	asnA
G2536	sdaA
G2537	ppiC
G2538	yeaD
G2539	cutC
G2540	cobC
G2541	ygcE
G2542	mngB
G2543	thrW
G2544	folD
G2545	decoy62
G2546	ybdB
G2547	xthA
G2548	rssB
G2549	ydiL
G2550	decoy192
G2551	yhaV
G2552	endA
G2553	zwf
G2554	ybhP
G2555	yibG
G2556	yieK
G2557	blc
G2558	pyrB
G2559	fimH
G2560	yfbS
G2561	decoy65
G2562	hyaE
G2563	ptsP
G2564	dnaJ
G2565	yneF
G2566	uxuA
G2567	murD
G2568	ylcI
G2569	yqgD
G2570	yqaB
G2571	yfbQ
G2572	spf
G2573	rluC
G2574	ulaB
G2575	cysI
G2576	surA
G2577	hinT
G2578	ylbA
G2579	pyrH
G2580	ybiA
G2581	mglA
G2582	ytfN
G2583	xisE
G2584	decoy32
G2585	yniA
G2586	orn
G2587	bamA
G2588	pabC
G2589	aspC
G2590	yihU
G2591	rpmH
G2592	araG
G2593	agaA
G2594	rluE
G2595	adiA
G2596	yhhW
G2597	tqsA
G2598	ybjM
G2599	yehX
G2600	ninE
G2601	ygeX
G2602	hyaB
G2603	ffs
G2604	entE
G2605	nrdB
G2606	ylbE
G2607	amyA
G2608	decoy88
G2609	yhaL
G2610	fumB
G2611	bfr
G2612	decoy108
G2613	trpL
G2614	dbpA
G2615	araD
G2616	ybjN
G2617	mcbA
G2618	ycaI
G2619	cvpA
G2620	mpl
G2621	phnN
G2622	yjbJ
G2623	racC
G2624	yjdI
G2625	yoaA
G2626	nikE
G2627	rnhA
G2628	mfd
G2629	lacY
G2630	yjhF
G2631	yeaK
G2632	hslR
G2633	yiiQ
G2634	ybcH
G2635	yhcC
G2636	mtgA
G2637	nuoI
G2638	yhbW
G2639	yedZ
G2640	hofM
G2641	envZ
G2642	cvrA
G2643	glyS
G2644	guaC
G2645	proW
G2646	helD
G2647	agp
G2648	prmB
G2649	mdtI
G2650	creD
G2651	yjjI
G2652	yihI
G2653	kdsD
G2654	kup
G2655	evgS
G2656	decoy140
G2657	cusF
G2658	hisG
G2659	ydeA
G2660	ivbL
G2661	yjdK
G2662	fre
G2663	ybjT
G2664	ygfU
G2665	bioA
G2666	focA
G2667	yjfL
G2668	mdtF
G2669	cnu
G2670	ynjD
G2671	mcrB
G2672	yfbT
G2673	ydeI
G2674	yceO
G2675	rseP
G2676	yfhK
G2677	cheY
G2678	metC
G2679	insD
G2680	cpxP
G2681	yciU
G2682	topA
G2683	yniC
G2684	fabI
G2685	yeiB
G2686	yegJ
G2687	cpsB
G2688	gltP
G2689	sra
G2690	ymdB
G2691	dcp
G2692	wzxE
G2693	decoy134
G2694	yhcM
G2695	yzgL
G2696	djlA
G2697	yiiF
G2698	hpf
G2699	folA
G2700	ydbD
G2701	dppC
G2702	yphE
G2703	yfhL
G2704	yfiL
G2705	artQ
G2706	der
G2707	nuoJ
G2708	prpD
G2709	gadC
G2710	yfjH
G2711	pnuC
G2712	ydjX
G2713	degQ
G2714	yeaW
G2715	mltB
G2716	galU
G2717	ygdD
G2718	yidQ
G2719	sapC
G2720	hyfI
G2721	hisH
G2722	decoy139
G2723	flgG
G2724	lsrA
G2725	yjcB
G2726	ompT
G2727	djlB
G2728	fucO
G2729	yccU
G2730	modC
G2731	ftsE
G2732	gltX
G2733	nagK
G2734	yodB
G2735	yjjB
G2736	ispA
G2737	marB
G2738	yoeG
G2739	ydeK
G2740	pfkB
G2741	yhjA
G2742	bcsA
G2743	yfcF
G2744	cheW
G2745	gspK
G2746	fadB
G2747	argT
G2748	yjbS
G2749	yehD
G2750	proY
G2751	pyrD
G2752	sodC
G2753	yeeZ
G2754	frdB
G2755	insX
G2756	ybjG
G2757	intQ
G2758	napH
G2759	ymfK
G2760	motA
G2761	ilvD
G2762	ydfD
G2763	cyoA
G2764	ykgL
G2765	tyrU
G2766	decoy141
G2767	yedX
G2768	inaA
G2769	yaaY
G2770	ybfF
G2771	pdxB
G2772	uspD
G2773	glpA
G2774	thiD
G2775	gntT
G2776	decoy209
G2777	exbB
G2778	yqeC
G2779	puuD
G2780	mmuP
G2781	narX
G2782	pspE
G2783	yciF
G2784	paaE
G2785	decoy170
G2786	fixC
G2787	dhaM
G2788	bcsZ
G2789	srlB
G2790	ychS
G2791	insA
G2792	yohC
G2793	nadE
G2794	hemL
G2795	psiE
G2796	rutG
G2797	lpxA
G2798	rpsR
G2799	nfuA
G2800	nupG
G2801	yffM
G2802	cueO
G2803	pldB
G2804	csrC
G2805	nanM
G2806	ydhX
G2807	decoy55
G2808	flgB
G2809	degP
G2810	sfmH
G2811	rpe
G2812	yhbP
G2813	yfcM
G2814	ybjH
G2815	phnK
G2816	ydiQ
G2817	csdE
G2818	oppA
G2819	trxA
G2820	ygiC
G2821	mdtE
G2822	rbsA
G2823	yhfW
G2824	imp
G2825	ydhY
G2826	thiL
G2827	fryA
G2828	yhbC
G2829	serB
G2830	pptA
G2831	ygfB
G2832	fdnH
G2833	yidE
G2834	fbaA
G2835	mukF
G2836	ydiB
G2837	yecR
G2838	yjiN
G2839	decoy72
G2840	pqiA
G2841	proB
G2842	yqiI
G2843	glvG
G2844	truB
G2845	leuC
G2846	recQ
G2847	ydhQ
G2848	ydeN
G2849	waaA
G2850	galF
G2851	yafX
G2852	yacF
G2853	yqhA
G2854	caiD
G2855	nrdG
G2856	yhhN
G2857	pdxY
G2858	decoy174
G2859	aroH
G2860	kdpF
G2861	hisL
G2862	valS
G2863	yjeH
G2864	hslO
G2865	marC
G2866	uspB
G2867	gspJ
G2868	rtcA
G2869	cdh
G2870	nagZ
G2871	fliT
G2872	yhjV
G2873	ypfH
G2874	mdoD
G2875	nudI
G2876	ykfM
G2877	glyT
G2878	yahO
G2879	bssR
G2880	ydcF
G2881	ybhM
G2882	ydeR
G2883	yggF
G2884	sulA
G2885	decoy43
G2886	hycI
G2887	caiA
G2888	yhcD
G2889	ybbO
G2890	pcnB
G2891	mnmC
G2892	yeeV
G2893	kbl
G2894	allA
G2895	deoC
G2896	eda
G2897	dadX
G2898	ydhF
G2899	yohD
G2900	yhaC
G2901	ypdE
G2902	dut
G2903	lpxL
G2904	rpsJ
G2905	hisA
G2906	ubiF
G2907	yeiW
G2908	creA
G2909	ligB
G2910	mrcA
G2911	rcsD
G2912	ygcL
G2913	idnT
G2914	gfcE
G2915	lepB
G2916	nanC
G2917	yhjG
G2918	yqfB
G2919	blr
G2920	yhcN
G2921	fldB
G2922	citE
G2923	rpmJ
G2924	fliY
G2925	wcaL
G2926	aldB
G2927	yajC
G2928	ygaZ
G2929	hdeA
G2930	ymdA
G2931	decoy167
G2932	rrsG
G2933	ycaQ
G2934	rnhB
G2935	sgcA
G2936	metN
G2937	yfcO
G2938	dapA
G2939	yebR
G2940	yjbH
G2941	ydgD
G2942	ykgH
G2943	leuZ
G2944	ygcG
G2945	rssA
G2946	yhgN
G2947	yjaH
G2948	ykgI
G2949	yhhH
G2950	decoy61
G2951	yjeO
G2952	ybjQ
G2953	ybhC
G2954	yeeH
G2955	rpsC
G2956	ydiZ
G2957	artJ
G2958	ygeR
G2959	amiC
G2960	ydhL
G2961	araF
G2962	wcaC
G2963	yeiI
G2964	cdd
G2965	hypA
G2966	glpK
G2967	rlmG
G2968	hycA
G2969	ybdH
G2970	narQ
G2971	astD
G2972	btuF
G2973	ygaH
G2974	feoB
G2975	secG
G2976	ydiA
G2977	prmA
G2978	yncI
G2979	rimN
G2980	slt
G2981	ybgT
G2982	atpG
G2983	entB
G2984	ryhB
G2985	yjbM
G2986	rlmN
G2987	ybeY
G2988	yafD
G2989	lldD
G2990	iscS
G2991	araB
G2992	mdtO
G2993	tgt
G2994	nadD
G2995	yiaK
G2996	talA
G2997	ymgI
G2998	yacH
G2999	yhbS
G3000	pykA
G3001	trmJ
G3002	yqjF
G3003	ytfT
G3004	dcuD
G3005	yebS
G3006	ybaM
G3007	yphF
G3008	setA
G3009	yciA
G3010	dnaT
G3011	fadE
G3012	ccmE
G3013	decoy101
G3014	yhjY
G3015	sroB
G3016	ygjK
G3017	yeaP
G3018	yafE
G3019	ygaD
G3020	mukE
G3021	hcr
G3022	fliK
G3023	rffE
G3024	tldD
G3025	fusA
G3026	ygeI
G3027	yedF
G3028	rsxB
G3029	katG
G3030	yncE
G3031	malM
G3032	cbpA
G3033	yceJ
G3034	yahM
G3035	yffN
G3036	fadL
G3037	ybiI
G3038	fdhE
G3039	yaiI
G3040	rpmD
G3041	dgoD
G3042	mqo
G3043	decoy201
G3044	tdcC
G3045	istR
G3046	ryfD
G3047	ccmC
G3048	argW
G3049	rusA
G3050	ribD
G3051	gfcB
G3052	psuK
G3053	cpdA
G3054	ybaS
G3055	yciH
G3056	rspA
G3057	aer
G3058	fliO
G3059	ynfB
G3060	ymfS
G3061	rrmA
G3062	decoy36
G3063	infC
G3064	yegE
G3065	ybeU
G3066	ybeQ
G3067	gspF
G3068	hcaD
G3069	yagB
G3070	ydhK
G3071	ydaV
G3072	yjbQ
G3073	napA
G3074	prfA
G3075	bcsC
G3076	glgP
G3077	ppdA
G3078	decoy52
G3079	trmH
G3080	pykF
G3081	yciB
G3082	pheM
G3083	etk
G3084	decoy125
G3085	ydgA
G3086	citX
G3087	arnC
G3088	fdx
G3089	yaiE
G3090	ygeY
G3091	dusA
G3092	chaC
G3093	yeiH
G3094	azoR
G3095	znuB
G3096	degS
G3097	psd
G3098	yccM
G3099	fadI
G3100	yfaS
G3101	acrE
G3102	yggL
G3103	yehA
G3104	yeiQ
G3105	ychO
G3106	rhsB
G3107	rrlA
G3108	paaB
G3109	ligT
G3110	ymdF
G3111	gntX
G3112	frlB
G3113	ycgY
G3114	thiH
G3115	mutH
G3116	yqfA
G3117	yaaI
G3118	ybeL
G3119	ydbL
G3120	yedA
G3121	panF
G3122	yfcI
G3123	yceF
G3124	yaiP
G3125	yjhB
G3126	ydcD
G3127	yiaM
G3128	ybhH
G3129	nuoC
G3130	yieE
G3131	yibA
G3132	yehS
G3133	ymfJ
G3134	yigL
G3135	yniB
G3136	potA
G3137	clpX
G3138	mutS
G3139	pdxH
G3140	glyU
G3141	decoy148
G3142	ssuE
G3143	rplT
G3144	livK
G3145	pbpG
G3146	decoy132
G3147	yjjU
G3148	frvX
G3149	yeaN
G3150	ygdI
G3151	sxy
G3152	gph
G3153	hha
G3154	ydaM
G3155	mhpD
G3156	rhaA
G3157	xdhD
G3158	cysJ
G3159	yafL
G3160	csgC
G3161	fliR
G3162	hdeB
G3163	ygjR
G3164	yfcV
G3165	yjgB
G3166	yffP
G3167	ydcS
G3168	kdsB
G3169	yrdA
G3170	rspB
G3171	ydhR
G3172	ebgA
G3173	ybeR
G3174	yodA
G3175	tyrA
G3176	cynS
G3177	decoy84
G3178	slyD
G3179	potE
G3180	trmA
G3181	yhhL
G3182	yfjQ
G3183	decoy92
G3184	paaD
G3185	fecC
G3186	decoy109
G3187	yihQ
G3188	nlpA
G3189	ugpB
G3190	ybcO
G3191	recT
G3192	puuA
G3193	plsX
G3194	recB
G3195	fadJ
G3196	gsiD
G3197	potD
G3198	ygbF
G3199	rprA
G3200	aceA
G3201	tar
G3202	ydfE
G3203	ycgH
G3204	dicF
G3205	glpC
G3206	yobA
G3207	uspE
G3208	yghW
G3209	treA
G3210	tehB
G3211	yfjX
G3212	decoy129
G3213	yjfY
G3214	ydeS
G3215	rpoZ
G3216	yhjJ
G3217	yfjJ
G3218	cysQ
G3219	aroB
G3220	yiaY
G3221	nirC
G3222	yjeN
G3223	yliE
G3224	ynaI
G3225	ppk
G3226	aroE
G3227	rzpD
G3228	ydcL
G3229	glnE
G3230	ftsI
G3231	yjaZ
G3232	ryfC
G3233	manX
G3234	rdlA
G3235	yqhD
G3236	yajI
G3237	insK
G3238	ydaT
G3239	ibpB
G3240	ybeZ
G3241	ypeB
G3242	hemN
G3243	kptA
G3244	clpS
G3245	trxC
G3246	yoaD
G3247	rfaP
G3248	kdpB
G3249	ykfI
G3250	ycfL
G3251	ypfG
G3252	flgH
G3253	tyrB
G3254	tam
G3255	ypjJ
G3256	nrfF
G3257	tpiA
G3258	oppB
G3259	decoy78
G3260	alkA
G3261	yagL
G3262	ompC
G3263	hybB
G3264	yaeI
G3265	yecM
G3266	torC
G3267	yaaH
G3268	pyrG
G3269	decoy153
G3270	yrbK
G3271	yccB
G3272	lpxK
G3273	yfeY
G3274	hchA
G3275	potI
G3276	ydiT
G3277	ispG
G3278	sgrS
G3279	yedJ
G3280	ispU
G3281	ydfO
G3282	deoD
G3283	gidB
G3284	csrA
G3285	purU
G3286	decoy66
G3287	ddpC
G3288	ybaZ
G3289	yfcE
G3290	yhbV
G3291	yqjC
G3292	ypjF
G3293	yliJ
G3294	yhjE
G3295	hofC
G3296	crr
G3297	yheS
G3298	ygaW
G3299	aroD
G3300	rfc
G3301	yfcS
G3302	pck
G3303	gyrB
G3304	ydcH
G3305	murP
G3306	syd
G3307	ulaA
G3308	ykfN
G3309	rplD
G3310	proL
G3311	yegZ
G3312	ybaW
G3313	yaiZ
G3314	decoy162
G3315	oppD
G3316	rbsK
G3317	agaV
G3318	yhhA
G3319	ygfY
G3320	ampD
G3321	dmsB
G3322	potC
G3323	rbsD
G3324	hslU
G3325	csgB
G3326	ansB
G3327	mdoG
G3328	yjhY
G3329	sufA
G3330	nrfA
G3331	folE
G3332	trpS
G3333	fhuF
G3334	flk
G3335	yheN
G3336	prpC
G3337	yigB
G3338	decoy136
G3339	fadD
G3340	pal
G3341	hybC
G3342	upp
G3343	ygcK
G3344	ptrA
G3345	csgA
G3346	ydcK
G3347	hofQ
G3348	lpxH
G3349	yqhH
G3350	pepN
G3351	sthA
G3352	bisC
G3353	yafK
G3354	aroC
G3355	ynhF
G3356	galT
G3357	ytjC
G3358	yfcP
G3359	topB
G3360	napF
G3361	ygfX
G3362	decoy49
G3363	cynT
G3364	ycfZ
G3365	nrfB
G3366	psiF
G3367	glpB
G3368	uspC
G3369	hypD
G3370	yliG
G3371	fimA
G3372	kdgK
G3373	ssb
G3374	actP
G3375	ycjY
G3376	yfdC
G3377	ygaU
G3378	yfiB
G3379	acpT
G3380	fdnG
G3381	hisS
G3382	potF
G3383	srlA
G3384	ytjB
G3385	flgK
G3386	glpE
G3387	dhaK
G3388	yfhR
G3389	gspE
G3390	decoy38
G3391	ycjO
G3392	holB
G3393	ybgC
G3394	sapD
G3395	yfcU
G3396	yeaO
G3397	ymgE
G3398	yciE
G3399	sufD
G3400	lon
G3401	frmB
G3402	decoy124
G3403	ves
G3404	kilR
G3405	ygjI
G3406	gltA
G3407	yadB
G3408	ypfN
G3409	asnS
G3410	yeeT
G3411	yfeT
G3412	ybdN
G3413	yqaA
G3414	purB
G3415	lsrG
G3416	phnP
G3417	decoy138
G3418	pinE
G3419	pgk
G3420	rpmA
G3421	yfcZ
G3422	eptA
G3423	hokD
G3424	yqiA
G3425	hcaE
G3426	ygeO
G3427	xapB
G3428	yagX
G3429	ycdT
G3430	ybfL
G3431	gabP
G3432	narH
G3433	yhfA
G3434	yobD
G3435	fliJ
G3436	rpsM
G3437	ascB
G3438	rybB
G3439	miaB
G3440	ysgA
G3441	hofB
G3442	glpF
